Phalacrocorax_carunculatus,Leucocarbo_carunculatus
Phalacrocorax_chalconotus,Leucocarbo_chalconotus
Phalacrocorax_chalconotus_chalconotus,Leucocarbo_chalconotus_chalconotus
Phalacrocorax_chalconotus_stewarti,Leucocarbo_chalconotus_stewarti
Phalacrocorax_onslowi,Leucocarbo_onslowi
Phalacrocorax_colensoi,Leucocarbo_colensoi
Phalacrocorax_campbelli,Leucocarbo_campbelli
Phalacrocorax_georgianus,Leucocarbo_georgianus
Phalacrocorax_atriceps,Leucocarbo_atriceps
Phalacrocorax_atriceps_(Blue-eyed),Leucocarbo_atriceps_(Blue-eyed)
Phalacrocorax_atriceps_(King),Leucocarbo_atriceps_(King)
Phalacrocorax_bransfieldensis,Leucocarbo_bransfieldensis
Phalacrocorax_melanogenis,Leucocarbo_melanogenis
Phalacrocorax_verrucosus,Leucocarbo_verrucosus
Phalacrocorax_nivalis,Leucocarbo_nivalis
Phalacrocorax_purpurascens,Leucocarbo_purpurascens
Ardea_herodias_(Wurdemann’s),Ardea_herodias_wardi_x_occidentalis
Tyto_alba_[delicatula_Group],Tyto_alba_[javanica_Group]
Tyto_alba_[furcata_Group],Tyto_alba_[tuidara_Group]
Otus_scops_cyprius,Otus_cyprius
Megascops_nudipes,Gymnasio_nudipes
Bubo_africanus,Bubo_milesi
Bubo_africanus_africanus/tanae,Bubo_africanus
Glaucidium_brodiei,Taenioptynx_brodiei
Glaucidium_brodiei_sylvaticum/borneense,Taenioptynx_sylvaticus
Ciccaba_[undescribed_form],Ciccaba_huhula_[undescribed_cloud-forest_form]
Strix_aluco_mauritanica,Strix_mauritanica
Strix_varia_sartorii,Strix_sartorii
Pseudoscops_grammicus,Asio_grammicus
Nesasio_solomonensis,Asio_solomonensis
Ninox_boobook_rotiensis,Ninox_rotiensis
Ninox_boobook_fusca,Ninox_fusca
Ninox_boobook_plesseni,Ninox_plesseni
Ninox_squamipila_squamipila,Ninox_squamipila
Ninox_squamipila_hantu,Ninox_hantu
Pteroglossus_beauharnaesii,Pteroglossus_beauharnaisii
Dinopium_sp.,Chrysocolaptes/Dinopium_sp.
Caracara_cheriway/plancus,Caracara_plancus
Caracara_cheriway,Caracara_plancus_[cheriway_Group]
Caracara_plancus,Caracara_plancus_plancus
Necopsittacus_rodricanus,Necropsittacus_rodricanus
Charmosyna_wilhelminae,Charminetta_wilhelminae
Charmosyna_rubronotata,Hypocharmosyna_rubronotata
Charmosyna_placentis,Hypocharmosyna_placentis
Charmosyna_toxopei,Charmosynopsis_toxopei
Charmosyna_pulchella,Charmosynopsis_pulchella
Charmosyna_multistriata,Synorhacma_multistriata
Charmosyna_margarethae,Charmosynoides_margarethae
Charmosyna_meeki,Vini_meeki
Charmosyna_diadema,Vini_diadema
Charmosyna_rubrigularis,Vini_rubrigularis
Charmosyna_palmarum,Vini_palmarum
Charmosyna_amabilis,Vini_amabilis
Phigys_solitarius,Vini_solitarius
Glossopsitta_pusilla,Parvipsitta_pusilla
Glossopsitta_porphyrocephala,Parvipsitta_porphyrocephala
Chalcopsitta_cardinalis,Pseudeos_cardinalis
Psitteuteles_goldiei,Glossoptila_goldiei
Trichoglossus_johnstoniae,Saudareos_johnstoniae
Psitteuteles_iris,Saudareos_iris
Trichoglossus_ornatus,Saudareos_ornatus
Trichoglossus_flavoviridis_meyeri,Saudareos_meyeri
Trichoglossus_flavoviridis_flavoviridis,Saudareos_flavoviridis
Trichoglossus_haematodus_x_chlorolepidotus,Trichoglossus_chlorolepidotus_x_moluccanus
Trichoglossus_haematodus/chlorolepidotus,Trichoglossus_chlorolepidotus/moluccanus
Trichoglossus_rubritorquis_x_moluccanus,Trichoglossus_moluccanus_x_rubritorquis
Trichoglossus_rubritorquis/moluccanus,Trichoglossus_moluccanus/rubritorquis
Forpus_xanthopterygius_spengeli,Forpus_spengeli
Forpus_xanthopterygius_crassirostris,Forpus_crassirostris
Forpus_xanthopterygius_xanthopterygius,Forpus_xanthopterygius
Thectocercus_acuticaudatus_[acuticaudatus_Group],Thectocercus_acuticaudatus_[haemorrhous_Group]
Eurylaimus_samarensis,Sarcophanops_samarensis
Eurylaimus_steerii,Sarcophanops_steerii
Herpsilochmus_rufimarginatus_frater/exiguus,Herpsilochmus_frater
Herpsilochmus_rufimarginatus_rufimarginatus/scapularis,Herpsilochmus_rufimarginatus
Formicivora_grisea_[grisea_Group],Formicivora_grisea_grisea/rufiventris
Stymphalornis_acutirostris,Formicivora_acutirostris
Stymphalornis_acutirostris_acutirostris,Formicivora_acutirostris_acutirostris
Stymphalornis_acutirostris_paludicola,Formicivora_acutirostris_paludicola
Pyriglena_leuconota_pacifica,Pyriglena_maura_pacifica
Pyriglena_leuconota_castanoptera,Pyriglena_maura_castanoptera
Pyriglena_leuconota_picea,Pyriglena_maura_picea
Grallaria_rufula_spatiator,Grallaria_spatiator
Grallaria_rufula_saltuensis,Grallaria_saltuensis
Grallaria_rufula_rufula,Grallaria_rufula
Grallaria_rufula_occabambae,Grallaria_occabambae
Grallaria_rufula_cochabambae,Grallaria_cochabambae
Grallaria_rufula_cajamarcae,Grallaria_cajamarcae
Grallaria_rufula_obscura,Grallaria_obscura
Grallaria_rufula,Grallaria_sp._(rufula/blakei_complex)
Hylopezus_nattereri,Cryptopezus_nattereri
Hylopezus_fulviventris,Myrmothera_fulviventris
Hylopezus_berlepschi,Myrmothera_berlepschi
Hylopezus_dives,Myrmothera_dives
Scytalopus_[undescribed_Ampay_form],Scytalopus_whitneyi
Scytalopus_[undescribed_Millpo_form],Scytalopus_frankeae
Scytalopus_latrans_intermedius,Scytalopus_intermedius
Formicarius_analis_[moniliger_Group],Formicarius_moniliger
Sclerurus_mexicanus_andinus,Sclerurus_obscurior_andinus
Sclerurus_mexicanus_obscurior,Sclerurus_obscurior_obscurior
Sclerurus_mexicanus_peruvianus,Sclerurus_obscurior_peruvianus
Sclerurus_mexicanus_macconnelli,Sclerurus_obscurior_macconnelli
Sclerurus_mexicanus_bahiae,Sclerurus_obscurior_bahiae
Dendrocincla_fuliginosa_[fuliginosa_Group],Dendrocincla_fuliginosa_fuliginosa/rufoolivacea
Hylexetastes_perrotii_uniformis,Hylexetastes_uniformis_uniformis
Hylexetastes_perrotii_brigidai,Hylexetastes_uniformis_brigidai
Lepidocolaptes_fuscicapillus,Lepidocolaptes_fuscicapillus_fuscicapillus
Lepidocolaptes_layardi,Lepidocolaptes_fuscicapillus_layardi
Philydor_rufum,Dendroma_rufa
Philydor_erythropterum,Dendroma_erythroptera
Synallaxis_stictothorax_chinchipensis,Synallaxis_chinchipensis
Dixiphia_pipra,Pseudopipra_pipra
Dixiphia_pipra_anthracina,Pseudopipra_pipra_anthracina
Dixiphia_pipra_[pipra_Group],Pseudopipra_pipra_[pipra_Group]
Tijuca_atra,Lipaugus_ater
Tijuca_condita,Lipaugus_conditus
Mionectes_macconnelli_roraimae,Mionectes_roraimae
Euscarthmus_meloryphus_fulviceps,Euscarthmus_fulviceps
Euscarthmus_meloryphus_meloryphus/paulus,Euscarthmus_meloryphus
Suiriri_affinis,Guyramemua_affine
Suiriri_suiriri/affinis,Suiriri_suiriri/Guyramemua_affine
Pyrocephalus_rubinus_nanus,Pyrocephalus_nanus_nanus
Pyrocephalus_rubinus_dubius,Pyrocephalus_nanus_dubius
Muscisaxicola_fluviatilis,Syrtidicola_fluviatilis
Polioxolmis_rufipennis,Cnemarchus_rufipennis
Xolmis_pyrope,Pyrope_pyrope
Xolmis_cinereus,Nengetus_cinereus
Xolmis_coronatus,Neoxolmis_coronatus
Xolmis_salinarum,Neoxolmis_salinarum
Xolmis_rubetra,Neoxolmis_rubetra
Xolmis_dominicanus,Heteroxolmis_dominicana
Deltarhynchus_flammulatus,Ramphotrigon_flammulatum
Amytornis_whitei,Amytornis_whitei_whitei
Amytornis_oweni,Amytornis_whitei_oweni
Meliphaga_reticulata,Territornis_reticulata
Meliphaga_fordiana,Territornis_fordiana
Meliphaga_albilineata,Territornis_albilineata
Meliphaga_montana,Microptilotis_montanus
Meliphaga_mimikae,Microptilotis_mimikae
Meliphaga_flavirictus,Microptilotis_flavirictus
Meliphaga_orientalis,Microptilotis_orientalis
Meliphaga_albonotata,Microptilotis_albonotatus
Meliphaga_analoga,Microptilotis_analogus
Meliphaga_vicina,Microptilotis_vicina
Meliphaga_gracilis,Microptilotis_gracilis
Meliphaga_gracilis_imitatrix,Microptilotis_imitatrix
Meliphaga_cinereifrons,Microptilotis_cinereifrons
Meliphaga_gracilis/cinereifrons,Microptilotis_gracilis/cinereifrons
Meliphaga_sp.,Meliphaga/Territornis/Microptilotis_sp.
Myzomela_[undescribed_Alor_form],Myzomela_prawiradilagae
Myzomela_[undescribed_Taliabu_form],Myzomela_wahe
Colluricincla_megarhyncha_[fortis_Group],Colluricincla_fortis
Colluricincla_megarhyncha_affinis,Colluricincla_affinis
Colluricincla_megarhyncha_[obscura_Group],Colluricincla_obscura
Colluricincla_megarhyncha_[tappenbecki_Group],Colluricincla_tappenbecki
Colluricincla_megarhyncha_[megarhyncha_Group],Colluricincla_megarhyncha
Colluricincla_megarhyncha_discolor,Colluricincla_discolor
Colluricincla_megarhyncha_[rufogaster_Group],Colluricincla_rufogaster
Pachycephala_occidentalis,Pachycephala_fuliginosa
Rhipidura_[undescribed_form],Rhipidura_habibiei
Dircurus_occidentalis/sharpei/ludwigii,Dicrurus_occidentalis/sharpei/ludwigii
Lanius_sphenocercus_sphenocercus,Lanius_sphenocercus
Lanius_sphenocercus_giganteus,Lanius_giganteus
Lanius_sphenocercus,Lanius_sphenocercus/giganteus
Corvinella_corvina,Lanius_corvinus
Corvinella_melanoleuca,Lanius_melanoleucus
Perisoreus_canadensis_capitalis/albescens,Perisoreus_canadensis_capitalis/bicolor
Perisoreus_canadensis_[obscurus_Group],Perisoreus_canadensis_obscurus/griseus
Petroica_pusilla_[pusilla_Group],Petroica_pusilla_[similis_Group]
Eremalauda_dunni_dunni,Eremalauda_dunni
Eremalauda_dunni_eremodites,Eremalauda_eremodites
Eremalauda_dunni,Eremalauda_dunni/eremodites
Alaudala_cheleensis/rufescens,Alaudala_cheleensis/heinei
Alaudala_rufescens,Alaudala_rufescens/heinei
Calandrella_brachydactyla/Alaudala_cheleensis/rufescens,Calandrella_brachydactyla/Alaudala_sp.
Cisticola_[undescribed_Kilombero_form],Cisticola_bakerorum
Cisticola_[undescribed_White-tailed_form],Cisticola_anderseni
Locustella_fasciolata,Helopsaltes_fasciolatus
Locustella_amnicola,Helopsaltes_amnicola
Locustella_fasciolata/amnicola,Helopsaltes_fasciolatus/amnicola
Locustella_pryeri,Helopsaltes_pryeri
Locustella_certhiola,Helopsaltes_certhiola
Locustella_ochotensis,Helopsaltes_ochotensis
Locustella_pleskei,Helopsaltes_pleskei
Locustella_ochotensis/pleskei,Helopsaltes_ochotensis/pleskei
Bradypterus_alfredi,Locustella_alfredi
Locustella_castanea_castanea,Locustella_castanea
Locustella_castanea_musculus,Locustella_musculus
