ORIGINAL LABEL, OTT TAXON NAME, OTT TAXON ID
Zimmerius chicomendesi, Zimmerius chicomendesi,6154659
Sirystes subcanescens, Sirystes subcanescens,6154637
Sirystes albocinereus, Sirystes albocinereus,6154635
Knipolegus cabanisi, Knipolegus cabanisi,6154553
Hemitriccus cohnhafti, Hemitriccus cohnhafti,6154543
Zoothera salimalii, Zoothera salimalii,6154512
Zoothera griseiceps, Zoothera griseiceps,6154509
Zoothera atrigena, Zoothera atrigena,6154508
Turdoides rufocinctus, Turdoides rufocincta,6154420
Turdoides gilberti, Turdoides gilberti,6154411
Turdoides chapini, Turdoides chapini,6154408
Turdoides atripennis, Turdoides atripennis,6154407
Stachyris humei, Stachyris humei,6154399
Pnoepyga mutica, Pnoepyga mutica,6154375
Pellorneum rostratum, Pellorneum rostratum,6154373
Pellorneum cinereiceps, Pellorneum cinereiceps,6154371
Pellorneum celebense, Pellorneum celebense,6154370
Pellorneum bicolor, Pellorneum bicolor,6154368
Robsonius thompsoni, Robsonius thompsoni,6154365
Napothera pasquieri, Napothera pasquieri,6154364
Napothera malacoptila, Napothera malacoptila,6154363
Napothera danjoui, Napothera danjoui,6154359
Napothera albostriata, Napothera albostriata,6154358
Illadopsis turdina, Illadopsis turdina,6154342
Dubusia castaneoventris, Dubusia castaneoventris,6154283
Thlypopsis pyrrhocoma, Thlypopsis pyrrhocoma,6154276
Sporophila nuttingi, Sporophila nuttingi,6154268
Sporophila funerea, Sporophila funerea,6154262
Sporophila fringilloides, Sporophila fringilloides,6154261
Sporophila beltoni, Sporophila beltoni,6154255
Sporophila atrirostris, Sporophila atrirostris,6154254
Sicalis mendozae, Sicalis mendozae,6154250
Acanthidops bairdi, Acanthidops bairdi,6154181
Thamnistes rufescens, Thamnistes rufescens,6154178
Epinecrophylla amazonica, Epinecrophylla amazonica,6154109
Graminicola striatus, Graminicola striatus,6154057
Rhipidura sauli, Rhipidura sauli,6153922
Rhipidura nigritorquis, Rhipidura nigritorquis,6153920
Scytalopus gonzagai, Scytalopus gonzagai,6153902
Rhabdornis rabori, Rhabdornis rabori,6153892
Pycnonotus conradi, Pycnonotus conradi,6153868
Alophoixus platenae, Alophoixus platenae,6153822
Alophoixus mystacalis, Alophoixus mystacalis,6153821
Alophoixus lucasi, Alophoixus lucasi,6153820
Alophoixus longirostris, Alophoixus longirostris,6153819
Alophoixus chloris, Alophoixus chloris,6153816
Alophoixus aureus, Alophoixus aureus,6153814
Ailuroedus stonii, Ailuroedus stonii,6153806
Ailuroedus melanocephalus, Ailuroedus melanocephalus,6153803
Ailuroedus maculosus, Ailuroedus maculosus,6153802
Ailuroedus jobiensis, Ailuroedus jobiensis,6153799
Ailuroedus geislerorum, Ailuroedus geislerorum,6153796
Ailuroedus astigmaticus, Ailuroedus astigmaticus,6153792
Ailuroedus arfakianus, Ailuroedus arfakianus,6153789
Schiffornis veraepacis, Schiffornis veraepacis,6153776
Schiffornis stenorhyncha, Schiffornis stenorhyncha,6153775
Schiffornis aenea, Schiffornis aenea,6153773
Petroica pusilla, Petroica pusilla,6153726
Drymodes beccarii, Drymodes beccarii,6153709
Myiothlypis basilica, Myiothlypis basilica,6153625
Aethopyga tibolii, Aethopyga tibolii,6153550
Aethopyga magnifica, Aethopyga magnifica,6153549
Aethopyga jefferyi, Aethopyga jefferyi,6153548
Aethopyga guimarasensis, Aethopyga guimarasensis,6153547
Aethopyga decorosa, Aethopyga decorosa,6153544
Agelaioides fringillarius, Agelaioides fringillarius,6153484
Cacicus latirostris, Cacicus latirostris,6153462
Cyanoloxia rothschildii, Cyanoloxia rothschildii,6153378
Artemisiospiza nevadensis, Artemisiospiza nevadensis,6153372
Loxops wolstenholmei, Loxops wolstenholmei,6153368
Loxops ochraceus, Loxops ochraceus,6153367
Himatione fraithii, Himatione fraithii,6153366
Hemignathus hanapepe, Hemignathus hanapepe,6153365
Hemignathus affinis, Hemignathus affinis,6153364
Carpodacus waltoni, Carpodacus waltoni,6153321
Carpodacus stoliczkae, Carpodacus stoliczkae,6153320
Akialoa lanaiensis, Akialoa lanaiensis,6153307
Pipilo naufragus, Pipilo naufragus,6153177
Acanthiza cinerea, Acanthiza cinerea,6153071
Muscicapa williamsoni, Muscicapa williamsoni,6153023
Ficedula luzoniensis, Ficedula luzoniensis,6152992
Cyanoptila cumatilis, Cyanoptila cumatilis,6152972
Copsychus superciliaris, Copsychus superciliaris,6152961
Myzomela nigriventris, Myzomela nigriventris,6152890
Gymnomyza brunneirostris, Gymnomyza brunneirostris,6152859
Gliciphila undulata, Gliciphila undulata,6152858
Gliciphila notabilis, Gliciphila notabilis,6152857
Foulehaio procerior, Foulehaio procerior,6152852
Actinodura strigula, Actinodura strigula,6152760
Actinodura cyanouroptera, Actinodura cyanouroptera,6152756
Thripophaga amacurensis, Thripophaga amacurensis,6152717
Clibanornis rufipectus, Clibanornis rufipectus,6152655
Clibanornis rectirostris, Clibanornis rectirostris,6152653
Clibanornis erythrocephalus, Clibanornis erythrocephalus,6152652
Cichlocolaptes mazarbarnetti, Cichlocolaptes mazarbarnetti,6152648
Automolus subulatus, Automolus subulatus,6152644
Anabacerthia lichtensteini, Anabacerthia lichtensteini,6152626
Grallaricula leymebambae, Grallaricula leymebambae,6152617
Vireo sclateri, Vireo sclateri,6152535
Vireo chivi, Vireo chivi,6152528
Platysteira hormophora, Platysteira hormophora,6152492
Lophorina minor, Lophorina minor,6152475
Pitohui uropygialis, Pitohui uropygialis,6152467
Pitohui cerviniventris, Pitohui cerviniventris,6152465
Pachycephala richardsi, Pachycephala richardsi,6152454
Pachycephala fuliginosa, Pachycephala fuliginosa,6152442
Pachycephala collaris, Pachycephala collaris,6152440
Terpsiphone incei, Terpsiphone incei,6152425
Terpsiphone affinis, Terpsiphone affinis,6152418
Carterornis castus, Carterornis castus,6152394
Lanius borealis, Lanius borealis,6152355
Cissa jefferyi, Cissa jefferyi,6152255
Lalage typica, Lalage typica,6152233
Lalage polioptera, Lalage polioptera,6152231
Lalage melaschistos, Lalage melaschistos,6152228
Lalage melanoptera, Lalage melanoptera,6152227
Lalage fimbriata, Lalage fimbriata,6152225
Rhopophilus albosuperciliaris, Rhopophilus albosuperciliaris,6152177
Laticilla cinerascens, Laticilla cinerascens,6152155
Cinclus schulzii, Cinclus schulzii,6152109
Horornis haddeni, Horornis haddeni,6152101
Cantorchilus elutus, Cantorchilus elutus,6152064
Dryolimnas augusti, Dryolimnas augusti,6151916
Penelope bridgesi, Penelope bridgesi,6151696
Nystalus obamai, Nystalus obamai,6151598
Falco duboisi, Falco duboisi,6151549
Parabuteo leucorrhous, Parabuteo leucorrhous,6151524
Haliaeetus ichthyaetus, Haliaeetus ichthyaetus,6151508
Haliaeetus humilis, Haliaeetus humilis,6151507
Buteogallus lacernulatus, Buteogallus lacernulatus,6151492
Buteogallus coronatus, Buteogallus coronatus,6151491
Buteo plagiatus, Buteo plagiatus,6151487
