Name,Ott_Taxon_name,OTT TAXON ID
Thalassarche carteri,Thalassarche chlororhynchos,663145
Thalassarche impavida,Thalassarche melanophrys,320271
Thalurania fannyi,Thalurania colombica,90203
Pyrrhocoma ruficeps,Thlypopsis pyrrhocoma,6154276
Hemispingus superciliaris,Thlypopsis superciliaris,7662409
Trachyphonus usambiro,Trachyphonus darnaudii,1068258
Garrulax formosus,Trochalopteron formosum,7068594
Garrulax morrisonianus,Trochalopteron morrisonianum,7068600
Trogon aurantiiventris,Trogon collaris,917904
Phyllanthus atripennis,Turdoides atripennis,6154407
Kupeornis gilberti,Turdoides gilberti,6154411
Upucerthia jelskii,Upucerthia validirostris,403354
Urocissa erythrorhyncha,Urocissa erythroryncha,7660284
Picoides kizuki,Yungipicus kizuki,7662877
Amaurornis akool,Zapornia akool,7659997
Zoothera tanganjicae,Zoothera piaggiae,1008491
Zosterops montanus,Zosterops japonicus,131985
